2020-06-13 06:07:43.759  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 06:08:00.056  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 06:18:22.304  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 06:28:20.636  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 06:38:21.080  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 06:39:00.575  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 06:58:41.894  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 06:59:00.020  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 07:09:19.979  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 07:19:21.615  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 07:28:19.890  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 07:38:20.899  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 07:48:20.870  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 07:49:00.009  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 08:08:42.663  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 08:09:00.019  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 08:19:19.963  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 08:29:21.390  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 08:39:21.213  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 08:40:00.022  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 08:54:47.462  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 08:55:00.009  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 08:56:00.011  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 08:57:00.012  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:05:18.344  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:06:00.007  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:07:00.009  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:08:00.010  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:09:00.008  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:10:00.019  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:11:00.008  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:12:00.006  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:13:00.007  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:14:00.017  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:15:00.012  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:16:00.011  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:17:00.011  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:18:00.010  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:19:00.021  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:20:00.009  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:21:00.008  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:22:00.020  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 09:23:00.008  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
